Isótopo,1976-01-15,1996-09-15,2006-07-01
238Pu,0.01,0.02,0.03
239Pu,1.15,2.79,4.04
240Pu,4.05,9.79,14.21
241Pu,92.73,82.41,74.47
242Pu,2.06,4.99,7.25
