x,y
848.7265500794913,209.04451510333863
847.3719862227325,212.89322617680827
846.1327913279133,216.11020776874435
844.8869047619048,218.23511904761904
843.5773130544993,220.33523447401774
842.7289227166276,221.2980093676815
842.6964285714286,220.60059523809525
842.8163514338011,220.41122635753507
842.8624923265808,220.86126457949663
842.980625,221.265625
842.8601615910503,221.1224362958359
842.5529622980251,221.25852782764812
842.5005966587112,221.49224343675417
842.6876528117359,221.5336185819071
842.5755743651754,221.4764207980653
842.3911764705882,221.56058823529412
842.3518410286382,221.63997662185855
842.3486880466472,221.62274052478134
842.1899886234357,221.56257110352672
842.0296420581656,221.55313199105146
841.9550499445061,221.39789123196448
841.9601549529607,221.33812949640287
841.9475138121547,221.3110497237569
842.0422927100724,221.17974401780745
842.1116722783389,221.08978675645344
842.1928530913216,221.24787294384572
842.2336182336182,221.27692307692308
842.1463963963964,221.48704954954954
841.97954671089,221.66721945826424
841.6732726298875,221.60042849491163
841.4368475991649,221.6257828810021
841.2939068100359,221.93701996927803
841.3842264914055,222.74216380182003
839.5549203756635,228.2458146182115
837.0295262816353,234.1664503569111
834.9621392639662,242.69049510193275
831.2329520457545,256.35613726352835
823.2051958595495,272.8323523442257
777.7794185509922,322.51776649746193
747.5486486486486,345.6333333333333
711.0219876868954,366.9956024626209
670.1738035264484,387.3618807724601
624.3303092783506,405.1513402061856
574.107201986755,417.57367549668874
521.9388004895961,426.4124847001224
468.57131079967024,429.16199505358617
415.92362568191356,426.2345782626941
364.62170611880305,419.0272443054935
314.29494128274615,405.5980126467931
270.7091906721536,389.31550068587103
230.1203183520599,370.8384831460674
194.7573385518591,349.76272015655576
164.41126620139582,328.9312063808574
139.36817226890756,308.62605042016804
118.7470398277718,290.8778256189451
103.36638655462185,274.8952380952381
91.8526863084922,262.2426343154246
83.76467065868263,253.4622754491018
79.59833440102499,248.6252402306214
79.42857142857143,248.20606826801517
82.67050272562084,252.95154451847364
90.29257142857143,261.6354285714286
102.08775731310942,273.65492957746477
118.00253036437248,290.40384615384613
139.4747572815534,308.8956310679612
166.91868029739777,329.86245353159853
199.86056838365897,351.96669626998226
239.62081128747795,372.9100529100529
283.37310924369746,391.56344537815124
332.36797634136036,407.5606252640473
384.96979591836737,418.7289795918367
438.84440907282135,425.2288101870275
492.96762589928056,425.81814548361314
546.0793269230769,420.92027243589746
597.0117838277123,411.4831369362048
644.0424548129466,397.4543926019336
685.5128093790707,380.69952236213635
722.2760180995475,361.73846153846154
753.7930385700847,341.9482596425212
780.2745098039215,322.81991744066045
801.1641321447299,304.9449396958574
817.5924464487035,288.9554678692221
829.615962984384,276.07171775592826
835.3716216216217,266.3560810810811
838.3178599527931,260.375295043273
838.7798387096774,258.89032258064515
837.2882748319641,261.20238984316654
833.1936708860759,267.86139240506327
823.9440233236152,278.601749271137
809.7714443829552,292.6192584394023
791.4343487394958,309.61659663865544
768.1476476476477,328.4944944944945
740.2012763868433,348.83357879234165
706.9901639344263,369.05573770491804
669.183793571752,387.8053417836125
626.368468066101,404.31174631531934
579.7037678648766,417.4170636639238
529.6833910034602,425.9416089965398
478.59949302915084,429.2530629488804
427.1953924914676,427.37670648464166
376.2102763385147,420.669689119171
326.93087557603684,409.03917050691246
282.0255357957136,393.55403556771546
240.9670122525919,375.5871819038643
204.08082706766916,355.41494360902254
172.38752997601918,334.6609112709832
145.5485,314.473
123.73096446700508,295.6553299492386
106.79012345679013,279.58590534979425
94.06161395856053,266.32388222464556
85.40457142857143,256.5645714285714
80.68975903614458,251.21686746987953
79.79595478881618,250.11540749553836
83.07851934941111,253.50364554122265
90.15380434782608,261.2875
101.49340101522843,272.7807106598985
118.46938775510205,288.675898931001
139.96969696969697,306.84428904428904
167.19416187527642,327.6970367094206
199.78765323992994,348.74737302977235
238.7992327365729,370.2404092071611
282.1151109250732,389.01046462955213
329.67630057803467,405.331544178365
381.20361247947454,417.2245484400657
433.0457890433361,424.7248569092396
485.69421824104234,426.2219055374593
537.5756442227764,423.214463840399
586.1208315288003,414.7986141186661
631.0521201413428,402.50132508833923
671.4093648585999,387.42280945757994
707.1664247701983,370.4446057087566
737.0905852417303,352.37150127226465
762.6097691894794,334.12238325281805
783.1237172177879,317.3369441277081
798.8568935427575,302.46364165212333
810.6108343711084,290.052303860523
818.3419857235561,280.7988319273199
822.5608930987821,274.98240866035184
