time,I
0.317,36.00
0.653,200.00
0.933,1591.00
1.256,311.00
1.538,1672.00
2.464,57.00
2.865,200.00
3.107,1535.00
3.389,102.00
3.632,1658.00
4.558,40.00
4.960,200.00
5.242,1657.00
5.565,115.00
5.805,1670.00
6.774,22.00
7.175,200.00
7.416,1640.00
7.739,120.00
8.020,1662.00
8.948,15.00
9.351,200.00
9.590,1631.00
9.952,146.00
10.202,1651.00
11.121,16.00
11.523,200.00
11.806,1614.00
12.049,83.00
12.450,200.00
12.692,1660.00
13.336,24.00
13.738,200.00
13.981,1542.00
14.341,276.00
14.583,1668.00
15.510,36.00
15.912,200.00
16.193,1520.00
16.435,91.00
16.838,200.00
17.080,1648.00
17.643,33.00
18.047,200.00
18.292,1601.00
18.570,129.00
18.891,1659.00
19.818,20.00
20.219,200.00
20.503,1560.00
20.832,124.00
21.066,1622.00
22.033,17.00
22.413,200.00
22.655,1569.00
22.917,81.00
23.318,200.00
23.600,1646.00
24.204,17.00
24.607,200.00
24.892,1529.00
25.131,76.00
25.534,200.00
25.781,1640.00
26.419,44.00
26.822,200.00
27.064,1461.00
27.345,103.00
27.588,1647.00
28.512,51.00
28.996,200.00
29.276,1412.00
29.518,138.00
29.801,1649.00
30.726,25.00
31.129,200.00
31.371,1552.00
31.695,147.00
31.975,1635.00
32.903,20.00
33.304,200.00
33.586,1538.00
33.827,75.00
34.230,200.00
34.470,1642.00
35.116,18.00
35.516,200.00
35.758,1489.00
36.041,64.00
36.400,200.00
36.683,1638.00
37.248,54.00
37.729,200.00
37.974,1413.00
38.215,115.00
38.495,1661.00
39.420,29.00
39.823,200.00
40.070,1526.00
40.427,133.00
40.668,1649.00
41.635,24.00
41.996,200.00
42.281,1525.00
42.527,73.00
42.923,200.00
43.165,1671.00
43.808,18.00
44.210,200.00
44.451,1478.00
44.735,69.00
45.137,200.00
45.379,1644.00
45.943,74.00
46.425,200.00
46.668,1388.00
46.949,94.00
47.311,200.00
47.593,1648.00
48.158,25.00
48.560,200.00
48.802,1486.00
49.125,120.00
49.405,1620.00
50.334,19.00
50.735,200.00
50.977,1489.00
51.257,61.00
51.621,200.00
51.904,1662.00
52.548,16.00
52.908,200.00
53.191,1460.00
53.431,53.00
53.836,200.00
54.079,1669.00
54.642,76.00
55.124,200.00
55.406,1372.00
55.646,93.00
56.050,200.00
56.291,1656.00
56.855,32.00
57.259,200.00
57.503,1475.00
57.783,52.00
58.184,200.00
58.426,1655.00
59.069,21.00
59.474,200.00
59.727,1439.00
59.958,53.00
60.358,200.00
60.601,1661.00
61.245,20.00
61.648,200.00
61.891,1412.00
62.173,72.00
62.573,200.00
62.815,1676.00
63.380,59.00
63.862,200.00
64.103,1315.00
64.385,136.00
64.628,1649.00
65.595,42.00
66.078,200.00
66.320,1022.00
66.560,190.00
66.843,1651.00
67.686,164.00
68.092,1518.00
68.655,49.00
69.057,200.00
69.299,1646.00
69.867,145.00
70.270,1505.00
70.833,50.00
71.238,200.00
71.521,1656.00
72.044,125.00
72.493,1494.00
73.016,50.00
73.425,200.00
73.726,1639.00
74.267,111.00
74.668,1506.00
75.152,130.00
75.555,1640.00
76.402,125.00
76.844,1479.00
77.409,44.00
77.769,200.00
78.054,1645.00
78.619,105.00
79.018,1486.00
79.502,131.00
79.904,1627.00
80.790,120.00
81.193,1463.00
81.756,48.00
82.117,200.00
82.401,1660.00
82.964,102.00
83.366,1457.00
83.848,124.00
84.259,1626.00
85.136,130.00
85.540,1445.00
86.107,49.00
86.508,200.00
86.748,1663.00
87.313,128.00
87.715,1428.00
88.279,50.00
88.681,200.00
88.922,1651.00
89.487,119.00
89.888,1428.00
90.372,95.00
90.855,200.00
91.140,1654.00
91.701,80.00
92.182,200.00
92.424,711.00
92.666,107.00
92.948,1615.00
93.190,1669.00
93.834,165.00
94.316,1477.00
94.720,125.00
95.122,1629.00
96.088,36.00
96.571,200.00
96.813,386.00
97.055,197.00
97.337,1626.00
98.188,135.00
98.589,1428.00
99.148,44.00
99.551,200.00
