time,I
0.226,1167.00
1.060,630.00
1.304,1172.00
2.557,122.00
2.800,1171.00
3.977,46.00
4.294,200.00
4.537,1153.00
5.502,13.00
5.864,200.00
6.148,1167.00
6.912,16.00
7.316,200.00
7.557,1148.00
8.442,13.00
8.846,200.00
9.089,1176.00
9.933,150.00
10.216,1125.00
11.463,39.00
11.828,200.00
12.108,1144.00
12.873,37.00
13.195,200.00
13.437,1150.00
14.405,19.00
14.767,200.00
15.053,1196.00
15.816,18.00
16.217,200.00
16.458,1183.00
17.347,15.00
17.748,200.00
17.990,1196.00
18.794,20.00
19.158,200.00
19.442,1290.00
20.286,15.00
20.689,200.00
20.931,1275.00
21.817,101.00
22.060,1292.00
23.310,17.00
23.710,200.00
23.952,1195.00
24.759,20.00
25.120,200.00
25.403,1203.00
26.249,13.00
26.651,200.00
26.894,1188.00
27.697,21.00
28.101,200.00
28.344,1192.00
29.189,12.00
29.591,200.00
29.837,1197.00
30.641,20.00
31.041,200.00
31.284,1178.00
32.170,15.00
32.532,200.00
32.815,1189.00
33.585,19.00
33.988,200.00
34.229,1198.00
35.108,17.00
35.912,200.00
37.138,1188.00
37.138,24.00
37.178,200.00
37.739,1184.00
38.363,13.00
38.975,200.00
39.033,1199.00
39.893,24.00
40.204,200.00
