"t (s)","Illuminance (lx)"
1.106158018E0,0.000000000E0
1.256404996E0,5.000000000E0
1.673328996E0,0.000000000E0
1.806031108E0,5.000000000E0
2.357023001E0,0.000000000E0
2.455899000E0,5.000000000E0
2.923791051E0,0.000000000E0
3.023733020E0,5.000000000E0
3.557518005E0,0.000000000E0
3.690286994E0,5.000000000E0
4.124620080E0,0.000000000E0
4.223878026E0,5.000000000E0
4.758156061E0,0.000000000E0
4.891303062E0,5.000000000E0
5.358492017E0,0.000000000E0
5.458123088E0,5.000000000E0
5.992251039E0,0.000000000E0
6.125099063E0,5.000000000E0
6.559029102E0,0.000000000E0
6.658734083E0,5.000000000E0
7.192724109E0,0.000000000E0
7.291914105E0,5.000000000E0
7.759548068E0,0.000000000E0
7.859338999E0,5.000000000E0
8.426542997E0,0.000000000E0
8.526504993E0,5.000000000E0
8.993580103E0,0.000000000E0
9.093816042E0,5.000000000E0
9.627213001E0,0.000000000E0
9.760306001E0,5.000000000E0
1.019558203E1,0.000000000E0
1.029382408E1,5.000000000E0
1.082777607E1,0.000000000E0
1.096079409E1,5.000000000E0
1.142821503E1,0.000000000E0
1.152774107E1,5.000000000E0
1.206186008E1,0.000000000E0
1.219486010E1,5.000000000E0
1.262809002E1,0.000000000E0
1.272848105E1,5.000000000E0
1.326209104E1,0.000000000E0
1.339540708E1,5.000000000E0
1.382925808E1,0.000000000E0
1.392903101E1,5.000000000E0
1.449625707E1,0.000000000E0
1.462926209E1,5.000000000E0
1.506308508E1,0.000000000E0
1.516311204E1,5.000000000E0
1.569684303E1,0.000000000E0
1.582947910E1,5.000000000E0
1.626297402E1,0.000000000E0
1.636299205E1,5.000000000E0
1.689722300E1,0.000000000E0
1.703085601E1,5.000000000E0
1.749762106E1,0.000000000E0
1.759745502E1,5.000000000E0
1.813085401E1,0.000000000E0
1.826455903E1,5.000000000E0
1.869824910E1,0.000000000E0
1.879800105E1,5.000000000E0
1.933206701E1,0.000000000E0
1.946508205E1,5.000000000E0
1.989811599E1,0.000000000E0
1.999818909E1,5.000000000E0
2.056515300E1,0.000000000E0
2.069860208E1,5.000000000E0
2.113221002E1,0.000000000E0
2.126505101E1,5.000000000E0
2.176555908E1,0.000000000E0
2.189913201E1,5.000000000E0
2.233279502E1,0.000000000E0
2.243249404E1,5.000000000E0
2.296705806E1,0.000000000E0
2.309973204E1,5.000000000E0
2.356658006E1,0.000000000E0
2.366634500E1,5.000000000E0
2.419985306E1,0.000000000E0
2.433328199E1,5.000000000E0
2.476736403E1,0.000000000E0
2.486766207E1,5.000000000E0
2.540104711E1,0.000000000E0
2.556756806E1,5.000000000E0
2.596801901E1,0.000000000E0
2.606773007E1,5.000000000E0
2.663487303E1,0.000000000E0
2.676866603E1,5.000000000E0
2.720543611E1,0.000000000E0
2.730135500E1,5.000000000E0
2.783541107E1,0.000000000E0
2.796855807E1,5.000000000E0
2.840299809E1,0.000000000E0
2.850316203E1,5.000000000E0
2.903657401E1,0.000000000E0
2.920232010E1,5.000000000E0
2.960312200E1,0.000000000E0
2.970312405E1,5.000000000E0
3.027043605E1,0.000000000E0
3.040333307E1,5.000000000E0
3.083757007E1,0.000000000E0
3.097090805E1,5.000000000E0
3.147109699E1,0.000000000E0
3.160456705E1,5.000000000E0
3.203785801E1,0.000000000E0
3.213805211E1,5.000000000E0
3.267121410E1,0.000000000E0
3.283759010E1,5.000000000E0
3.327201903E1,0.000000000E0
3.337401307E1,5.000000000E0
3.390570903E1,0.000000000E0
3.403880310E1,5.000000000E0
3.447267699E1,0.000000000E0
3.457229006E1,5.000000000E0
3.510613704E1,0.000000000E0
3.527250004E1,5.000000000E0
3.567272007E1,0.000000000E0
3.577212811E1,5.000000000E0
3.637320209E1,0.000000000E0
3.643929207E1,5.000000000E0
3.690659499E1,0.000000000E0
3.703964710E1,5.000000000E0
3.753982008E1,0.000000000E0
3.767303503E1,5.000000000E0
3.810703707E1,0.000000000E0
3.820663309E1,5.000000000E0
3.874133110E1,0.000000000E0
3.890725911E1,5.000000000E0
3.930826402E1,0.000000000E0
3.944126999E1,5.000000000E0
3.997523201E1,0.000000000E0
4.010832906E1,5.000000000E0
4.054246604E1,0.000000000E0
4.064201009E1,5.000000000E0
4.117678201E1,0.000000000E0
4.130897403E1,5.000000000E0
4.177573001E1,0.000000000E0
4.184180009E1,5.000000000E0
