"t (s)","Illuminance (lx)"
2.113589048E-1,0.000000000E0
4.611629248E-1,5.000000000E0
5.447189808E-1,0.000000000E0
7.784179449E-1,5.000000000E0
1.078315973E0,0.000000000E0
1.328090906E0,5.000000000E0
1.412722945E0,0.000000000E0
1.661615014E0,5.000000000E0
1.945612907E0,0.000000000E0
2.229162931E0,5.000000000E0
2.295972943E0,0.000000000E0
2.562255979E0,5.000000000E0
2.829802990E0,0.000000000E0
3.513005018E0,5.000000000E0
3.802019954E0,0.000000000E0
4.368525982E0,5.000000000E0
4.578100920E0,0.000000000E0
5.270401955E0,5.000000000E0
5.446622014E0,0.000000000E0
6.111642003E0,5.000000000E0
6.316700935E0,0.000000000E0
7.116333008E0,5.000000000E0
7.275340915E0,0.000000000E0
7.852416992E0,5.000000000E0
8.172153950E0,0.000000000E0
8.739589930E0,5.000000000E0
8.931841016E0,0.000000000E0
9.594345927E0,5.000000000E0
9.800557971E0,0.000000000E0
1.048129499E1,5.000000000E0
1.067019296E1,0.000000000E0
1.141222000E1,5.000000000E0
1.153857899E1,0.000000000E0
1.233971798E1,5.000000000E0
1.240397394E1,0.000000000E0
1.307648993E1,5.000000000E0
1.339644396E1,0.000000000E0
1.396352899E1,5.000000000E0
1.413622296E1,0.000000000E0
1.491756892E1,5.000000000E0
1.501632392E1,0.000000000E0
1.569486797E1,5.000000000E0
1.600591993E1,0.000000000E0
1.655587697E1,5.000000000E0
1.675871599E1,0.000000000E0
1.757409596E1,5.000000000E0
1.786600292E1,0.000000000E0
1.855616593E1,5.000000000E0
1.868823493E1,0.000000000E0
1.922920001E1,5.000000000E0
1.935304201E1,0.000000000E0
2.008038092E1,5.000000000E0
2.026715493E1,0.000000000E0
2.094292200E1,5.000000000E0
2.110596895E1,0.000000000E0
2.185402894E1,5.000000000E0
2.199641395E1,0.000000000E0
2.264005101E1,5.000000000E0
2.288741398E1,0.000000000E0
2.351159394E1,5.000000000E0
2.382999599E1,0.000000000E0
2.439634502E1,5.000000000E0
2.456950796E1,0.000000000E0
2.535157597E1,5.000000000E0
2.543459797E1,0.000000000E0
2.622086394E1,5.000000000E0
2.630123794E1,0.000000000E0
2.709038901E1,5.000000000E0
2.717278099E1,0.000000000E0
2.795959496E1,5.000000000E0
2.804009700E1,0.000000000E0
2.883835793E1,5.000000000E0
2.897505391E1,0.000000000E0
2.969767702E1,5.000000000E0
2.981685197E1,0.000000000E0
3.054915893E1,5.000000000E0
3.067453492E1,0.000000000E0
3.143574691E1,5.000000000E0
3.155169296E1,0.000000000E0
3.228860593E1,5.000000000E0
3.238705802E1,0.000000000E0
3.319326198E1,5.000000000E0
3.349623001E1,0.000000000E0
3.424299693E1,5.000000000E0
3.430660391E1,0.000000000E0
3.483841395E1,5.000000000E0
3.498243296E1,0.000000000E0
3.576043093E1,5.000000000E0
